ФИО,№ стипендии,Тема,Организация
Евграфова Анна Валерьевна,СП-1404.2021.1,Лабораторное исследование процессов теплообмена и переноса примесей в условиях городского ландшафта,Федеральное государственное бюджетное учреждение науки Пермский федеральный исследовательский центр Уральского отделения Российской академии наук
Егоров Александр Николаевич,СП-4946.2021.1,Разработка и обоснование путей эффективного и безопасного использования водородных технологий в энергосистемах с высокой долей АЭС,"Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр ""Саратовский научный центр Российской академии наук"""
Емельянов Дмитрий Анатольевич,СП-2350.2021.1,Исследование процессов окисления модельной нефтяной системы для совершенствования метода теплового воздействия на трудноизвлекаемые запасы углеводородов с применением каталитической композиции на основе переходных металлов.,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Еремин Антон Владимирович,СП-5310.2021.1,Экспериментально – теоретическое исследование теплоизоляционных свойств композиционных материалов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Самарский государственный технический университет"""
Ерусланкин Сергей Алексеевич,СП-3631.2021.1,Теоретическое и экспериментальное обеспечение повышения проходимости автопоездов с активным прицепным звеном на основе вентильно-индукторных электрических машин,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский автомобильно-дорожный государственный технический университет (МАДИ)"""
Ершова Ирина Васильевна,СП-1538.2021.1,Гетеролептические комплексы металлов 13 группы на основе редокс-активных лигандов – новый тип хромофоров,Федеральное государственное бюджетное учреждение науки Институт металлоорганической химии им. Г.А. Разуваева Российской академии наук
Жарков Максим Андреевич,СП-102.2021.1,Исследование и разработка энергоэффективных мехатронных систем для автономных подвижных объектов,Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный технический университет»
Жуков Илья Александрович,СП-2254.2021.1,Изучение новых керамических материалов на основе AlMgB14 с низким коэффициентом трения для существенного повышения энергоэффективности машин,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Завадько Мария Юрьевна,СП-1160.2021.1,Разработка энергоэффективных гипсовых композитов на основе пылевидных  отходов производства базальтовой ваты,Федеральное государственное бюджетное образовательное учреждение высшего образования «Тверской государственный технический университет»
Зайнуллина Эльза Рафисовна,СП-3644.2021.1,Разработка методов повышения энергоэффективности поверхностных теплообменников и конденсаторов,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Замчий Александр Олегович,СП-3080.2021.1,Получение тонких пленок поликристаллического германия методом алюминий-индуцированной кристаллизации для высокоэффективных солнечных элементов,Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук
Землянушнов Никита Андреевич,СП-3658.2021.1,Повышение эффективности изготовления пружин за счет совершенствования методов их упрочнения,"Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Кавказский федеральный университет"""
Зима Александра Михайловна,СП-1343.2021.1,Каталитические системы на основе негемовых комплексов железа для процессов селективного C–H окисления сложных органических молекул,Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук»
Ибрагимова Айсылу Гумеровна,СП-4388.2021.1, Изменение тафоценозов Cladocera в голоцене как признак увеличения антропогенной нагрузки и эколого-климатических изменений в регионе ,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Иванников Александр Александрович,СП-1192.2021.1,Разработка сплавов-припоев на основе Ti-Zr-Nb для соединения элементов активных зон из карбида кремния инновационных реакторов IV поколения и обеспечения концепции толерантного топлива,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Иванов Михаил Юрьевич,СП-2830.2021.1,"Гетерогенные стекла ионных жидкостей как модельные системы для хранения и транспортировки энергетически и экологических важных газов (H2, CH4, CO2)",Федеральное государственное бюджетное учреждение науки Институт «Международный томографический центр» Сибирского отделения Российской академии наук
Иванова Ирина Владимировна,СП-2998.2021.1,Эффективность и структурно-химический механизм конверсии энергии излучения в видимое в материалах на основе виллемита,Федеральное государственное бюджетное учреждение науки Институт химии твердого тела Уральского отделения Российской академии наук
Ивлева Елена Александровна,СП-697.2021.1,Разработка состава термостойкой основы синтетических масел для теплонапряженных газотурбинных авиационных двигателей,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Самарский государственный технический университет"""
Измайлова Евгения Вячеславовна,СП-3857.2021.1,Энергоресурсосбережение в трубопроводных системах применением неразрушающих методов контроля в режиме реального времени,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный энергетический университет"""
Ильина Марина Владимировна,СП-4593.2021.1,Исследование и разработка элементов энергоэффективных наногенераторов на основе массивов ориентированных углеродных нанотрубок,Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Иноземцев Сергей Сергеевич,СП-5069.2021.1,Разработка технологии активных добавок-восстановителей структуры и эксплуатационных свойств дорожных композитов,Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Московский государственный строительный университет»
Иордан Юлия Вячеславовна,СП-1997.2021.1,Разработка сжигаемого заряда-заполнителя на основе энергетического материала в конструкции головного обтекателя ракеты-носителя,Федеральное государственное бюджетное образовательное учреждение высшего образования «Омский государственный технический университет»
Истомин Станислав Геннадьевич,СП-499.2021.1,"Разработка адаптивной системы контроля, прогнозирования и управления потреблением электроэнергии тягового подвижного состава железных дорог на основе методов и алгоритмов машинного обучения и искусственного интеллекта",Федеральное государственное бюджетное образовательное учреждение высшего образования «Омский государственный университет путей сообщения»
Капитонов Сергей Сергеевич,СП-3229.2021.1,"Исследование электрических и тепловых режимов работы ультрафиолетовых светодиодов с целью разработки на их основе энергоэффективных облучателей для обеззараживания воздуха от различных вирусных инфекций, в том числе коронавируса COVID-19","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва"""
Каримов Руслан Динарович,СП-5133.2021.1,"Исследование, разработка и выбор оптимальной концептуальной схемы энергетического комплекса перспективных летательных аппаратов с гибридной силовой установкой","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Уфимский государственный авиационный технический университет"""
Карпухина Тамара Владимировна,СП-2896.2021.1,Моделирование процесса сушки термочувствительных материалов с использованием направленного подвода инфракрасного излучения ,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ульяновский государственный технический университет»
Карташова Наталья Витальевна,СП-3033.2021.1,Оптимизация электродных материалов гибридного водородно-броматного перезаряжаемого химического источника тока,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Квятковский Александр Львович,СП-154.2021.1,"Новые функциональные материалы на основе гибридных мицелл поверхностно-активного вещества с внедренным полимером, восприимчивые к углеводородам",Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Киселёв Николай Александрович,СП-4172.2021.1,Многофункциональное влияние различных воздействий на аналогию Рейнольдса. Экспериментальное исследование,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Климова Наталия Борисовна,СП-4128.2021.1,Разработка метода предотвращения негативного влияния эффекта дифракционных потерь (глитчей) в монокристаллической рентгеновской оптике,"Федеральное государственное автономное образовательное учреждение высшего образования ""Балтийский федеральный университет имени Иммануила Канта"""
Ковалев Александр Владиславович,СП-3169.2021.1,"Влияние отношения вязкостей фаз, смачиваемости и геометрии микроканала на гидродинамику и структуру потока в сегментированном режиме течения несмешивающихся жидкостей ",Федеральное государственное автономное образовательное учреждение высшего образования «Новосибирский национальный исследовательский государственный университет»
Кожухова Марина Ивановна,СП-5230.2021.1,"Разработка методологических принципов создания энергоэффективных строительных композитов с применением техногенного сырья при условии модифицирования нанокремнеземом, полученным из природных гидротермальных растворов",Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»
Кожухова Наталья Ивановна,СП-157.2021.1,Разработка принципов создания геополимерных смесей для 3-D печати,Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»
Кондратьева Ольга Николаевна,СП-5171.2021.1,Физико-химические аспекты моделирования новых полифункциональных материалов на основе структурных и теплофизических характеристик сложных оксидов,Федеральное государственное бюджетное учреждение науки Институт общей и неорганической химии им. Н.С. Курнакова Российской академии наук
Кононов Евгений Александрович,СП-5688.2021.1,Энергетика активных броуновских частиц в газовых разрядах,Федеральное государственное бюджетное учреждение науки Объединенный институт высоких температур Российской академии наук
Константинов Александр Сергеевич,СП-4204.2021.1,"Научные и технологические аспекты процессов получения длинномерных стержней и пластин из композиционных материалов на основе боридов титана энергоэффективными методами, сочетающими СВС и сдвиговое высокотемпературное деформирование",Федеральное государственное бюджетное учреждение науки Институт структурной макрокинетики и проблем материаловедения им. А.Г. Мержанова Российской академии наук
Коптяев Андрей Игоревич,СП-2286.2021.1,"Трехзвенные промежуточные продукты синтеза порфириноидов: строение, свойства и перспективы применения в оптоэлектронных устройствах","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный химико-технологический университет"""
Копьев Виктор Васильевич,СП-124.2021.1,Излучающие микросборки наносекундных импульсов на основе GaAs с глубокими примесями для компактных и энергоэффективных лидаров,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Кордубайло Алексей Олегович,СП-577.2021.1,Разработка математических моделей скважинных электромагнитных импульсных виброисточников.,Федеральное государственное бюджетное учреждение науки Институт горного дела им. Н.А. Чинакала Сибирского отделения Российской академии наук
Костогруд Илья Алексеевич,СП-4123.2021.1,"Экспериментальное исследование газопроницаемости графеновых покрытий, нанесенных на металлические и полимерные материалы, для защиты металлов от окисления и водородного охрупчивания.",Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук
Кочуев Дмитрий Андреевич,СП-3924.2021.1,Исследование процессов абляции и осаждения сферических наноматериалов полученных в результате абляции суб пикосекундными лазерными импульсами в электростатическом поле при различном давлении.,Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»
Кривошеин Алексей Игоревич,СП-4003.2021.1,Смарт-система электрической безопасности и энергосбережения для жилого сектора,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)"""
Кройтор Андрей Петрович,СП-4189.2021.1,Разработка методов синтеза фталоцианинатов рутения с панхроматическим поглощением,Федеральное государственное бюджетное учреждение науки Институт физической химии и электрохимии им. А.Н. Фрумкина Российской академии наук
Крупин Александр Сергеевич,СП-17.2021.1,"Высокочувствительные сенсоры кислорода, температуры и УФ-излучения на основе анизотропных соединений лантаноидов(III)",Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский национальный исследовательский технологический университет»
Крыльцов Сергей Борисович,СП-5788.2021.1,Повышение показателей качества электроэнергии распределительных сетей предприятий на основе применения быстродействующих алгоритмов управления силовыми преобразователями,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет"""
Крючкова Татьяна Алексеевна,СП-686.2021.1,Разработка и исследование новых материалов из сложных оксидов на основе РЗМ как катализаторов переработки природного газа,Федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»
Кудрявцева Мария Сергеевна <i>(Сергеева)</i>,СП-762.2021.1,Разработка энергоэффективной технологии газогидратной кристаллизации с целью декарбонизации природного газа,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный технический университет им. Р.Е. Алексеева"""
Кузнецов Артем Борисович,СП-1767.2021.1,Синтез и функциональные свойства энергоэффективных оптических материалов на основе редкоземельных боратов».,Федеральное государственное бюджетное учреждение науки Институт геологии и минералогии им. В.С. Соболева Сибирского отделения Российской академии наук
Куимов Денис Николаевич,СП-548.2021.1,Разработка и исследование технологического процесса предварительной обработки нефти в устройстве с дискретной вторичной частью,Федеральное государственное бюджетное образовательное учреждение высшего образования «Донской государственный технический университет»
Куликов Леонид Андреевич,СП-2718.2021.1,Разработка катализаторов переработки остатков нефтехимического производства и возобновляемого сырья в компоненты топлив и ценные нефтехимические продукты,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Куренкова Анна Юрьевна,СП-2795.2021.1,Фотокатализаторы на основе диоксида титана для получения водорода в процессе переработки растительной биомассы,Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук»
Куркина Ирина Ивановна,СП-1773.2021.1,"Влияние времени фторирования на структурные, электрические и оптические свойства фторированного графена и структур графен/фторированный графен/кремний.","Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Восточный федеральный университет имени М.К. Аммосова"""
Липин Андрей Александрович,СП-1951.2021.1,"Разработка энерго- и ресурсосберегающих технологических систем производства дисперсных материалов, капсулированных в полимерные оболочки, на базе совмещенных полимеризационно-десорбционных процессов","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный химико-технологический университет"""
Литвин Александр Петрович,СП-149.2021.1,Исследование взаимодействия углеродных точек и металл-галогенидов со структурой перовскита для применения в фотовольтаических элементах,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Лозовой Кирилл Александрович,СП-1505.2021.1,Разработка способа получения 2D-материалов для высокоэффективных солнечных элементов,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Ломовский Игорь Олегович,СП-5383.2021.1,Исследование взаимодействия низкомолекулярных полифенолов с компонентами клеточных стенок в процессах экстракции,Федеральное государственное бюджетное учреждение науки Институт химии твердого тела и механохимии Сибирского отделения Российской академии наук
Лукина Анастасия Петровна,СП-3706.2021.1,Выделение из подземной биосферы новых термофильных прокариот для ферментации продуктов щелочного гидролиза лигноцеллюлозы и получения биотоплива.,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Ляпин Андрей Александрович,СП-1028.2021.1,Многослойные и периодически структурированные ап-конверсионные материалы и оптоэлектронные устройства на их основе,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва"""
Максимов Роман Николаевич,СП-3289.2021.1,Разработка новых керамических материалов для эффективных и компактных лазерных источников среднего ИК-диапазона,Федеральное государственное бюджетное учреждение науки Институт электрофизики Уральского отделения Российской академии наук
Медведков Яков Андреевич,СП-3603.2021.1,Разработка полного механизма окисления фенил-радикала,Федеральное государственное бюджетное учреждение науки Физический институт им. П.Н. Лебедева Российской академии наук
Меметова Анастасия Евгеньевна,СП-1260.2021.1,Разработка нанопористого углеродного сорбента для применения в системах хранения и транспортировки природного газа,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тамбовский государственный технический университет"""
Мирошниченко Игорь Валерьевич,СП-466.2021.1,Моделирование и разработка новых энерго- и ресурсосберегающих систем лучистого отопления жилых зданий,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Михиенкова Евгения Игоревна,СП-4083.2021.1,Разработка наномодифицированных буровых растворов нового поколения для строительства скважин в сложных горногеологических условиях Восточной Сибири,Федеральное государственное автономное образовательное учреждение высшего образования «Сибирский федеральный университет»
Мишнев Роман Владимирович,СП-1120.2021.1,Исследование структуры и механических свойств мартенситной стали нового поколения для повышения энергоэффективности ТЭС,Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»
Можаров Алексей Михайлович,СП-2169.2021.1,"Разработка и исследование фотопреобразователей в ИК диапазоне на основе нитевидных нанокристаллов InAs, синтезированных на кремниевой подложке","Федеральное государственное бюджетное учреждение высшего образования и науки ""Санкт-Петербургский национальный исследовательский Академический университет имени Ж.И. Алферова Российской академии наук"""
Морозов Сергей Олегович,СП-2304.2021.1,Исследование устойчивости и методов стабилизации пограничного слоя на поверхности гиперзвукового сопла,Федеральное государственное бюджетное учреждение науки Институт теоретической и прикладной механики им. С.А. Христиановича Сибирского отделения Российской академии наук
Мосеев Тимофей Дмитриевич,СП-1108.2021.1,Разработка методов создания новых энергоэффективных материалов для молекулярной электроники на основе полифторсодержащих (аза)ароматических соединений.,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Мостовщиков Андрей Владимирович,СП-87.2021.1,"Разработка термитных смесей с повышенным удельным тепловыделением на основе порошков металлов, активированных высокоэнергетическими излучениями",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Мочалов Артем Алексеевич,СП-1107.2021.1,Экспериментальное исследование спонтанной генерации нестационарных торнадо-подобных вихрей в условиях неустойчивой стратификации воздуха,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)"""
Мошева Елена Александровна,СП-2408.2021.1,Обоснование эффективности смешения жидкостей в проточном реакторе Y-типа посредством гравитационных типов конвекции,Федеральное государственное бюджетное учреждение науки Пермский федеральный исследовательский центр Уральского отделения Российской академии наук
Муртазов Марат Асланович,СП-4034.2021.1,Схемно-параметрическая оптимизация комбинированных систем теплового аккумулирования при использовании на АЭС с ВВЭР,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский государственный технический университет имени Гагарина Ю.А."""
Мухаметрахимов Рустем Ханифович,СП-1051.2021.1,"Разработка и внедрение новых формоустойчивых композиционных материалов на основе минеральных вяжущих, адаптированных для аддитивных технологических процессов в строительстве (3D-печати)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Казанский государственный архитектурно-строительный университет"""
Мясников Андрей Юрьевич,СП-3836.2021.1,"Разработка СВС материалов-накопителей водорода из порошковых смесей Ti-Al-Nb, подверженных предварительному гамма-облучению",Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»
Назаренко Максим Юрьевич,СП-1275.2021.1,"Установление физико-химических закономерностей, химизма и механизма процесса полукоксования низкосортных видов твердых горючих ископаемых (горючих сланцев и бурых углей)","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет"""
Нецвет Дарья Дмитриевна,СП-3577.2021.1,Повышение эффективности теплоизоляционного пенобетона неавтоклавного твердения за счет комплексной физико-химической модификации минеральными добавками,Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»
