ФИО,№ стипендии,Тема,Организация
Гладских Игорь Аркадьевич,СП-1743.2016.1,Оптические и электрические свойства самоорганизованных плазмонных наноструктур вблизи порога перколяции,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Головастов Сергей Викторович,СП-1501.2016.1,Экспериментальное и численное исследование самовоспламенения недорасширенной импульсной струи водорода,Федеральное государственное бюджетное учреждение науки Объединенный институт высоких температур Российской академии наук
Гольцман Борис Михайлович,СП-1074.2016.1,Разработка технологии многослойных теплоизоляционных строительных панелей на основе отходов промышленности,Федеральное государственное бюджетное образовательное учреждение высшего образования «Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова»
Гончар Кирилл Александрович,СП-146.2016.1,Использование кремниевых нанонитей для создания термоэлектрических преобразователей,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Горбачук Владимир Валерьевич,СП-3123.2016.1,Новое поколение материалов для солнечных батарей: гибридные материалы на платформе полианилина и силсесквиоксанов ,Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»
Горунов Андрей Игоревич,СП-3879.2016.1,"Целенаправленное формирование новых функциональных покрытий с высоким уровнем механических свойств, с помощью энергосберегающей технологии лазерной наплавки, для изделий работающих в экстремальных условиях эксплуатации в авиа- и машиностроении.",Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ»
Грекова Александра Дмитриевна,СП-3769.2016.1,Новые материалы для сорбционного аккумулирования низкопотенциального тепла,Федеральное государственное бюджетное учреждение науки «Федеральный исследовательский центр «Институт катализа им. Г.К. Борескова Сибирского отделения Российской академии наук»
Гречухин Александр Павлович,СП-1710.2016.1,Создание новых типов волокнистых армирующих основ для композиционных материалов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Костромской государственный университет"""
Грицкевич Михаил Сергеевич,СП-131.2016.1,Разработка новых методов предсказания турбулентного тепломассообмена для повышения энергоэффективности реакторных установок,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Гугин Павел Павлович,СП-3733.2016.1,Исследование фундаментальных принципов построения высоковольтных сильноточных энергоэффективных устройств генерации импульсов нано- и пикосекундного диапазона на основе «открытого» разряда,Федеральное государственное бюджетное учреждение науки Институт физики полупроводников им. А.В. Ржанова Сибирского отделения Российской академии наук
Гутников Сергей Иванович,СП-598.2016.1,Долговечность теплоизоляционных материалов и конструкций в условиях эксплуатации на объектах энергетики,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Давыдова Елена Станиславовна,СП-2815.2016.1,Разработка щелочных алюминий-воздушных элементов с номинальной плотностью мощности от 400 мВт/см2 для создания батарей транспортного и резервного назначений.,Федеральное государственное бюджетное учреждение науки Объединенный институт высоких температур Российской академии наук
Дильмиева Эльвина Тимербулатовна,СП-3243.2016.1,"Термоупругое мартенситное превращение в сплавах Гейслера в сильных магнитных полях, исследуемое прямыми методами","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)"""
Долганов Александр Викторович,СП-256.2016.1,Молекулярный дизайн электрокаталитических систем генерирования и окисления молекулярного водорода на основе клеточных комплексов,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва"""
Долганов Игорь Михайлович,СП-1347.2016.1,Повышение ресурсоэффективности производства высокооктановых бензинов с учетом физико-химических закономерностей всех стадий,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Долганова Ирэна Олеговна,СП-1342.2016.1,Повышение ресурсоэффективности производства алкилбензосульфокислоты путем оптимизации работы оборудования на сопряженных стадиях производства методом математического моделирования,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский политехнический университет»
Долотовский Игорь Владимирович,СП-2651.2016.1,"Разработка научных основ анализа, синтеза и проектирования высокоэффективных систем энерго- водообеспечения предприятий подготовки и переработки углеводородного сырья","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский государственный технический университет имени Гагарина Ю.А."""
Доржиев Виталий Юрьевич,СП-4144.2016.1,Разработка и создание интегральных электростатических микрогенераторов,Федеральное государственное бюджетное образовательное учреждение высшего образования «Новосибирский государственный технический университет»
Дорохов Виктор Сергеевич,СП-3694.2016.1,Исследование модифицированных сульфидов переходных металлов как основы для создания устойчивых к отравлению катализаторов синтеза спиртов и других оксигенатов из синтез-газа.,Федеральное государственное бюджетное учреждение науки Институт органической химии им. Н.Д. Зелинского Российской академии наук
Дорошенко Анна Валерьевна,СП-2375.2016.1,Моделирование комплексной энергоэффективности и энергосберегающих мероприятий жилых зданий.,Федеральное государственное бюджетное образовательное учреждение высшего образования «Национальный исследовательский Московский государственный строительный университет»
Дроздов Александр Александрович,СП-2509.2016.1,Разработка и развитие математической модели оптимального газодинамического проектирования проточной части центробежных компрессоров по результатам экспериментальных исследований и расчетов методами вычислительной газовой динамики,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Дулин Владимир Михайлович,СП-3502.2016.1,Влияние степени закрутки потока на уровень вредных выбросов при сжигании обедненных газовоздушных смесей,Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук
Дяшкин-Титов Виктор Владимирович,СП-2710.2016.1,Разработка энергоэффективных алгоритмов управления функционированием манипуляторов параллельно-последовательной структуры,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Волгоградский государственный аграрный университет"""
Егоров Олег Викторович,СП-2547.2016.1,"Разработка высокоточных методик, обеспечивающих экономичное использование топлива в техногенных объектах по анализу спектральных характеристик их выхлопных газов",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Емельянов Евгений Александрович,СП-749.2016.1,Поиск путей создания гибких высокоэффективных солнечных элементов на основе полупроводниковых соединений AIIIBV,Федеральное государственное бюджетное учреждение науки Институт физики полупроводников им. А.В. Ржанова Сибирского отделения Российской академии наук
Еремин Антон Владимирович,СП-1351.2016.1,"Разработка методов повышения энергетической эффективности объектов производства, передачи и потребления тепловой энергии","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Самарский государственный технический университет"""
Еськов Андрей Владимирович,СП-1094.2016.1,Исследование электрокалорического эффекта в сегнетоэлектрических и мультиферроидных материалах.,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Жемчужникова Дарья Александровна,СП-742.2016.1,Разработка технологии получения листосварных конструкций Al-Mg-Mn-Sc сплава с повышенным комплексом эксплуатационных свойств при низких температурах,Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»
Жигалин Александр Сергеевич,СП-3913.2016.1,Исследование устойчивости сжатия металоплазменных лайнеров,Федеральное государственное бюджетное учреждение науки Институт сильноточной электроники Сибирского отделения Российской академии наук
Жирнов Иван Владимирович,СП-3177.2016.1,Бесконтактное измерение геометрии формы и температуры ванны расплава в зоне лазерного воздействия процесса селективного лазерного плавления,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технологический университет ""СТАНКИН"""
Задорожный Михаил Юрьевич,СП-4277.2016.1,Разработка технологических основ получения композиционных материалов на основе гидридообразующих интерметаллидов и полимерных связующих для глубокой очистки и абсорбционного хранения водорода,Федеральное государственное автономное образовательное учреждение высшего образования “Национальный исследовательский технологический университет «МИСиС»
Зайковский Алексей Владимирович,СП-677.2016.1,Парамагнитная и электропроводящая углеродная сажа: плазменно-дуговой синтез и характеризация материала.,Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук
Замчий Александр Олегович,СП-635.2016.1,Синтез и функционализация ориентированных массивов нанопроволок оксида кремния для кремниевых солнечных элементов третьего поколения,Федеральное государственное бюджетное учреждение науки Институт теплофизики им. С.С. Кутателадзе Сибирского отделения Российской академии наук
Захаров Виктор Валерьевич,СП-2530.2016.1,Лазерная сканирующая микроскопия полупроводниковых наноструктур на основе квантовых точек и квантовых нитей,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Золотарев Василий Владимирович,СП-3186.2016.1,"Полупроводниковые источники мощного лазерного излучения (1-1,1 мкм) с узким спектром генерации для высокоэффективной оптической накачки",Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук
Зулина Наталья Алексеевна,СП-2157.2016.1,Синтез нелинейно-оптических наночастиц методом лазерной абляции органических кристаллов,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
