ФИО,№ гранта,Тема,Организация
Абросимов Николай Владимирович,МК-9572.2016.1,Геометрические и алгебраические инварианты многообразий малых размерностей и их накрытий,Федеральное государственное бюджетное учреждение науки Институт математики им. С.Л. Соболева Сибирского отделения Российской академии наук
Бородин Илья Николаевич,МК-4649.2016.1,Локализация деформации и неустойчивость пластического течения на фронте ударной волны в металлах подвергнутых интенсивным динамическим воздействиям,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Валовик Дмитрий Викторович,МК-4684.2016.1,Математические задачи теории дифракции электромагнитных волн в нелинейной среде,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Пензенский государственный университет"""
Васильев Андрей Сергеевич,МК-5342.2016.1,Исследование трибологических характеристик контактного взаимодействия материалов с функционально-градиентными и композиционными защитными покрытиями при одновременном воздействии нормальных и касательных нагрузок,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Васильева Мария Васильевна,МК-9613.2016.1,Многомасштабный метод конечных элементов для решения задач в перфорированных областях,"Федеральное государственное автономное образовательное учреждение высшего образования ""Северо-Восточный федеральный университет имени М.К. Аммосова"""
Красновейкин Владимир Алексеевич,МК-5914.2016.1,Изучение деформационного поведения конструкционных ультрамелкозернистых алюминий-магниевых сплавов в условиях высокоскоростного растяжения,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Томский государственный университет»
Малышев Дмитрий Сергеевич,МК-4819.2016.1,Эффективные алгоритмы решения некоторых актуальных подзадач труднорешаемых задач теории графов и дискретной оптимизации,"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Высшая школа экономики"""
Марков Иван Петрович,МК-5395.2016.1,Разработка программного обеспечения метода граничных элементов для численного исследования нестационарной динамики композиционных материалов и конструкционных элементов,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Маслова Наталья Владимировна,МК-6118.2016.1,Арифметические характеризации конечных групп,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Мусин Айрат Ахматович,МК-9398.2016.1,Математическое моделирование термогидродинамических процессов в водонефтяных эмульсиях под воздействием СВЧ поля,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»
Наумов Алексей Александрович,МК-4596.2016.1,Локальные предельные теоремы и универсальность локальных спектральных статистик случайных матриц высокой размерности,Автономная некоммерческая образовательная организация высшего образования «Сколковский институт науки и технологий»
Недин Ростислав Дмитриевич,МК-5440.2016.1,Развитие теоретических основ для неразрушающей диагностики материалов со сложной структурой на основе метода акустического зондирования,Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Нестеров Павел Николаевич,МК-4625.2016.1,Развитие асимптотических методов в теории функционально-дифференциальных уравнений,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный университет им. П.Г. Демидова"""
Николенко Сергей Игоревич,МК-7287.2016.1,Разработка и анализ алгоритмов обработки сетевых пакетов,Федеральное государственное бюджетное учреждение науки Санкт-Петербургское отделение Математического института им. В.А. Стеклова Российской академии наук
Пелевина Дарья Андреевна,МК-4541.2016.1,Создание направленного движения с использованием магнитоуправляемых материалов,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Пененко Алексей Владимирович,МК-8214.2016.1,Вариационные методы усвоения данных мониторинга химического состава атмосферы для целей диагностики и прогнозирования,Федеральное государственное бюджетное учреждение науки Институт вычислительной математики и математической геофизики Сибирского отделения Российской академии наук
Подольский Владимир Владимирович,МК-7312.2016.1,Сложность булевых функций и коммуникационные вычисления,Федеральное государственное бюджетное учреждение науки Математический институт им. В.А. Стеклова Российской академии наук
Поливанов Павел Александрович,МК-6682.2016.1,Поиск оптимальных конфигураций вдува/отсоса газа через пористую стенку для задач внешней и внутренней аэродинамики при сверхзвуковых числах Маха.,Федеральное государственное бюджетное учреждение науки Институт теоретической и прикладной механики им. С.А. Христиановича Сибирского отделения Российской академии наук
Пржиялковский Виктор Владимирович,МК-6019.2016.1,Многообразия Фано и зеркальная симметрия.,Федеральное государственное бюджетное учреждение науки Математический институт им. В.А. Стеклова Российской академии наук
Рябов Павел Николаевич,МК-7207.2016.1,Численное моделирование процессов самоорганизации полос адиабатического сдвига в материалах при деформациях,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Синельщиков Дмитрий Игоревич,МК-6624.2016.1,Нелокальные преобразования для построения явных аналитических решений нелинейных уравнений типа Льенара и их обобщений,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Скопенков Михаил Борисович,МК-6137.2016.1,Функции комплексного и кватернионного переменного и их приложения в геометрии,Федеральное государственное бюджетное учреждение науки Институт проблем передачи информации им. А.А. Харкевича Российской академии наук
Слепцов Алексей Васильевич,МК-8769.2016.1,Теория представлений квантовых групп и квантовые инварианты узлов,"Федеральное государственное бюджетное учреждение ""Национальный исследовательский центр ""Курчатовский институт"""
Степанова Ирина Владимировна,МК-4519.2016.1,Влияние эффектов Соре и Дюфора на режимы тепломассообмена в бинарных смесях,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр ""Красноярский научный центр Сибирского отделения Российской академии наук"""
Стояновская Ольга Петровна,МК-5915.2016.1,Разработка параллельных алгоритмов для суперкомпьютерного моделирования пространственно трехмерных нестационарных процессов планетообразования в газопылевых гравитирующих дисках,Федеральное государственное автономное образовательное учреждение высшего образования «Новосибирский национальный исследовательский государственный университет»
Трифанов Александр Игоревич,МК-5161.2016.1,Квантовые графы и гибридные многообразия в моделях квантовых сетей,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Уткин Павел Сергеевич,МК-6756.2016.1,Комплексное исследование проблемы взаимодействия ударной волны с плотным облаком частиц,Федеральное государственное бюджетное учреждение науки Институт автоматизации проектирования Российской академии наук
Шишаева Анастасия Сергеевна,МК-5514.2016.1,Управление потоком при сверхзвуковом течении в условиях гистерезиса,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Щербаков Виктор Викторович,МК-5173.2016.1,Задачи оптимизации формы для упругих пластин с включениями и трещинами ,Федеральное государственное бюджетное учреждение науки Институт гидродинамики им. М.А. Лаврентьева Сибирского отделения Российской академии наук
Алексеев Павел Сергеевич,МК-8826.2016.2,Теория магнетотранспорта в графене в условиях электронейтральности,Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук
Алексеев Прохор Анатольевич,МК-7001.2016.2,Исследование взаимодействия оптического излучения с зондом атомно-силового микроскопа,Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук
Богданов Андрей Андреевич,МК-6462.2016.2,Безызлучательные оптические состояния в диэлектрических наноструктурах с энергиями внутри светового конуса для систем оптической коммуникации ,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Букин Владимир Валентинович,МК-8562.2016.2,Частотно-угловое распределение интенсивности терагерцового излучения при оптическом пробое газов остросфокусированными двухчастотными фемтосекундными лазерными импульсами,Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр «Институт общей физики им. А.М. Прохорова Российской академии наук»
Бурковский Роман Георгиевич,МК-5685.2016.2,Структурные превращения в функциональных материалах на основе антисегнетоэлектриков и их твердых растворов,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Васюнин Антон Иванович,МК-8005.2016.2,Эволюция органической материи на ранних стадиях звездообразования,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Винниченко Максим Яковлевич,МК-4616.2016.2,Исследование оптических явлений в узкозонных полупроводниковых структурах для оптоэлектронных приборов среднего инфракрасного диапазона,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Громушкин Дмитрий Михайлович,МК-7597.2016.2,Исследование нейтронной компоненты ШАЛ на установке ПРИЗМА-32.,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Гуда Александр Александрович,МК-7300.2016.2,Разработка и внедрение лабораторного стенда для прецизионного анализа степени окисления 3d металлов в ходе циклирования литий-ионных аккумуляторов,Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Деменев Андрей Анатольевич,МК-7844.2016.2,Неклассические состояния экситон-поляритонной системы в полупроводниковых микрорезонаторах,Федеральное государственное бюджетное учреждение науки Институт физики твердого тела имени Ю.А. Осипьяна Российской академии наук
Достовалов Александр Владимирович,МК-6657.2016.2,Фемтосекундная запись длинных волоконных брэгговских решеток показателя преломления для применения в лазерах и распределенных сенсорных системах,Федеральное государственное бюджетное учреждение науки Институт автоматики и электрометрии Сибирского отделения Российской академии наук
Дубцов Александр Владимирович,МК-4886.2016.2,Структурные и оптические свойства микрокапель жидких кристаллов в условиях воздействия светового излучения и наночастиц,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""МИРЭА - Российский технологический университет"""
Дурнев Михаил Васильевич,МК-7389.2016.2,Тонкая структура и динамика экситонов в двумерных системах,Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук
Ермачихин Александр Валерьевич,МК-4518.2016.2,Развитие комплексных методик исследования материалов сегнетоэлектриков и халькогенидных стеклообразных полупроводников с целью улучшения характеристик энергонезависимых запоминающих устройств,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный радиотехнический университет имени В.Ф. Уткина"""
Кайдашев Владимир Евгеньевич,МК-8369.2016.2,Исследование процессов поглощения и концентрации электромагнитного поля в сильно связанных плазмонных наносистемах,Федеральное государственное автономное образовательное учреждение высшего образования «Южный федеральный университет»
Катамадзе Константин Григорьевич,МК-5860.2016.2,Генерация и контроль неклассических состояний света для задач квантовой информации,Федеральное государственное бюджетное учреждение науки Физико-технологический институт имени К.А.Валиева Российской академии наук
Киверин Алексей Дмитриевич,МК-8693.2016.2,Разработка новых подходов к моделированию и оценке энергоэффективности процесса бескислородного взрыва ацетилена,Федеральное государственное бюджетное учреждение науки Объединенный институт высоких температур Российской академии наук
Кленов Николай Викторович,МК-5813.2016.2,Применение макроскопических квантовых эффектов в энергоэффективных сверхпроводниковых информационных системах,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Клиньшов Владимир Викторович,МК-8460.2016.2,Динамика сложных сетевых систем с импульсными связями,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр Институт прикладной физики Российской академии наук"""
Конобеева (Янюшкина) Наталия Николаевна,МК-4562.2016.2,Многомерные предельно короткие оптические импульсы в наноструктурах с дираковскими фермионами,Федеральное государственное автономное образовательное учреждение высшего образования «Волгоградский государственный университет»
Кудрин Алексей Владимирович,МК-8221.2016.2,"Анализ влияния фазового, элементного состава и микрокристаллического состояния эпитаксиальных структур на основе полупроводников А3Б5, легированных примесью переходных элементов, на их применимость в спиновой и оптической электронике",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»
Кузьмичева Татьяна Евгеньевна,МК-5699.2016.2,Высокотемпературные сверхпроводящие материалы на основе железа,Федеральное государственное бюджетное учреждение науки Физический институт им. П.Н. Лебедева Российской академии наук
Кунцевич Александр Юрьевич,МК-6603.2016.2,Экспериментальное исследование энтропии в топологически нетривиальных и дираковских двумерных системах,Федеральное государственное бюджетное учреждение науки Физический институт им. П.Н. Лебедева Российской академии наук
Курскиев Глеб Сергеевич,МК-5846.2016.2,Исследование термоизоляции ионного компонента плазмы сферического токамака Глобус-М,Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук
Леньшин Александр Сергеевич,МК-4865.2016.2,"Основы управления морфологией, составом поверхности и функциональными характеристиками низкоразмерных оксидных систем на основе кремния ",Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный университет»
Литвинов Андрей Николаевич,МК-6530.2016.2,Управление оптическими свойствами атомных систем в условиях замкнутого контура возбуждения,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Мартынов Игорь Леонидович,МК-4937.2016.2,"Сенсор паров взрывчатых веществ на основе сопряженных органических полимеров, внедренных в фотонный кристалл из пористого кремния",Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Маслов Михаил Михайлович,МК-7410.2016.2,Компьютерное моделирование кристаллических соединений с нетрадиционной геометрией углеродно-азотного каркаса на основе молекул CL-20,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Матвеев Лев Александрович,МК-6504.2016.2,Разработка принципов микромасштабного картирования релаксационных свойств биотканей на основе анализа динамики спекловой структуры в спектральной ОКТ для мониторинга эффективности противораковой терапии,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр Институт прикладной физики Российской академии наук"""
Матецкий Андрей Владимирович,МК-5560.2016.2,Рост и исследование электронной структуры селенидов олова,Федеральное государственное бюджетное учреждение науки Институт автоматики и процессов управления Дальневосточного отделения Российской академии наук
Миронов Алексей Юрьевич,МК-4628.2016.2,Переход сверхпроводник-сверхизолятор в наноструктурах на основе тройного соединения ниобий-титан-азот ,Федеральное государственное бюджетное учреждение науки Институт физики полупроводников им. А.В. Ржанова Сибирского отделения Российской академии наук
Москаленко Ольга Игоревна,МК-4574.2016.2,Оценка степени синхронности поведения взаимодействующих систем по временному ряду (модельные системы и нейрофизиологические данные),"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского"""
Образцова Екатерина Александровна,МК-9230.2016.2,Контролируемая модификация оптических параметров микрокристаллических алмазных пирамид,Федеральное государственное бюджетное учреждение науки Федеральный исследовательский центр «Институт общей физики им. А.М. Прохорова Российской академии наук»
Павлов Никита Сергеевич,МК-5957.2016.2,Теоретическое исследование электронных свойств новейших сверхпроводников на основе железа и их аналогов методами LDA и LDA+DMFT,Федеральное государственное бюджетное учреждение науки Институт электрофизики Уральского отделения Российской академии наук
Петров Николай Владимирович,МК-7068.2016.2,Разработка методов расчета дифракционных оптических элементов на основе алгоритмов адаптивной оптимизации волновых фронтов ,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Пикулин Александр Викторович,МК-5858.2016.2,Разработка теоретических основ новых методов лазерного нано- и микроструктурирования полимерных материалов для задач развития фотонной и плазмонной элементной базы суперкомпьютерных систем,"Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр Институт прикладной физики Российской академии наук"""
Поддубный Александр Никитич,МК-8500.2016.2,Нелинейные топологические состояния фотонов и поляритонов,Федеральное государственное бюджетное учреждение науки Физико-технический институт им. А.Ф. Иоффе Российской академии наук
Поздеева Екатерина Олеговна,МК-7835.2016.2,"Гравитационные модели с неминимально взаимодействующими скалярными полями, мотивированные квантовой теорией поля",Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Проскурин Игорь Витальевич,МК-6230.2016.2,Хиральность как единая концепция от современной оптики до физики перспективных материалов: от фундаментальных основ к практическому применению,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Румянцев Владимир Владимирович,МК-6923.2016.2,"Фотопроводимость, фотолюминесценция и стимулированное излучение в узкозонных полупроводниковых структурах с квантовыми ямами на основе HgCdTe и InAs/GaSb в среднем и дальнем инфракрасном диапазоне (10 -- 50 мкм)","Федеральное государственное бюджетное научное учреждение ""Федеральный исследовательский центр Институт прикладной физики Российской академии наук"""
Савенко Иван Григорьевич,МК-5903.2016.2,Контроль квантовой пространственной и временной когерентности в мезоскопических оптических системах с сильной экситон-фотонной связью,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»
Седов Евгений Сергеевич,МК-8031.2016.2,Разработка гиперболических метаматериалов на основе диэлектрических зеркал с квантовыми ямами,Федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»
Сергеев Александр Александрович,МК-8089.2016.2,"Гетерогенные оптические хемосенсорные структуры для анализа химического состава газовых и жидких сред на основе биополимерных матриц, функционализированных оптически активными элементами",Федеральное государственное бюджетное учреждение науки Институт автоматики и процессов управления Дальневосточного отделения Российской академии наук
Скрипников Леонид Владимирович,МК-7631.2016.2,Развитие методов теоретического описания электронной структуры соединений тяжелых элементов для экспериментов по поиску эффектов несохранения четности,"Федеральное государственное бюджетное учреждение ""Петербургский институт ядерной физики им. Б.П. Константинова Национального исследовательского центра ""Курчатовский институт"""
Смирнов Андрей Юрьевич,МК-6284.2016.2,Оптимизация процессов разделения в каскадах газовых центрифуг при получении изотопических смесей для актуальных приложений,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»
Соколовский Владимир Владимирович,МК-8480.2016.2,"Магнитные, магнитоупругие и магнитокалорические свойства интерметаллидов, обладающих метамагнитным фазовым переходом: Исследования методами ab initio и Монте-Карло","Федеральное государственное бюджетное образовательное учреждение высшего образования ""Челябинский государственный университет"""
Софронов Антон Николаевич,МК-6064.2016.2,Внутризонные оптические явления в наноструктурах с квантовыми ямами и квантовыми точками,Федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»
Стафеев Сергей Сергеевич,МК-9019.2016.2,Формирование фокусных пятен с размерами меньше дифракционного предела при фокусировке лазерного излучения объектами микрооптики и нанофотоники,Федеральное государственное учреждение «Федеральный научно-исследовательский центр «Кристаллография и фотоника» Российской академии наук»
Фатеев Денис Васильевич,МК-5447.2016.2,Нелинейные свойства плазменных колебаний в периодических графеновых структурах для детектирования терагерцового излучения,Федеральное государственное бюджетное учреждение науки Институт радиотехники и электроники им. В.А.Котельникова Российской академии наук
Чезганов Дмитрий Сергеевич,МК-8441.2016.2,Исследование формирования регулярной доменной структуры в одноосных сегнетоэлектриках под действием сфокусированного ионного пучка для параметрической генерации света и преобразования частоты лазерного излучения,Федеральное государственное автономное образовательное учреждение высшего образования «Уральский федеральный университет имени первого Президента России Б.Н. Ельцина»
Ширшин Евгений Александрович,МК-9394.2016.2,Высокочувствительное детектирование радионуклидов с использованием лазерной спектроскопии,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»
Янина Ирина Юрьевна,МК-6009.2016.2,Экспериментальные исследования оптических свойств жировой ткани при нагреве лазерным излучением,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского"""
